,Description,Dates,Quantity
48,ALARM CLOCK BAKELIKE RED ,2011-01-18,1.0
49,ALARM CLOCK BAKELIKE RED ,2011-01-19,0.0
50,ALARM CLOCK BAKELIKE RED ,2011-01-20,27.0
51,ALARM CLOCK BAKELIKE RED ,2011-01-21,40.0
52,ALARM CLOCK BAKELIKE RED ,2011-01-22,0.0
53,ALARM CLOCK BAKELIKE RED ,2011-01-23,11.0
54,ALARM CLOCK BAKELIKE RED ,2011-01-24,1.0
55,ALARM CLOCK BAKELIKE RED ,2011-01-25,19.0
56,ALARM CLOCK BAKELIKE RED ,2011-01-26,3.0
57,ALARM CLOCK BAKELIKE RED ,2011-01-27,1.0
58,ALARM CLOCK BAKELIKE RED ,2011-01-28,12.0
59,ALARM CLOCK BAKELIKE RED ,2011-01-29,0.0
60,ALARM CLOCK BAKELIKE RED ,2011-01-30,0.0
61,ALARM CLOCK BAKELIKE RED ,2011-01-31,0.0
62,ALARM CLOCK BAKELIKE RED ,2011-02-01,13.0
63,ALARM CLOCK BAKELIKE RED ,2011-02-02,4.0
64,ALARM CLOCK BAKELIKE RED ,2011-02-03,54.0
65,ALARM CLOCK BAKELIKE RED ,2011-02-04,13.0
66,ALARM CLOCK BAKELIKE RED ,2011-02-05,0.0
67,ALARM CLOCK BAKELIKE RED ,2011-02-06,4.0
68,ALARM CLOCK BAKELIKE RED ,2011-02-07,5.0
69,ALARM CLOCK BAKELIKE RED ,2011-02-08,2.0
70,ALARM CLOCK BAKELIKE RED ,2011-02-09,0.0
71,ALARM CLOCK BAKELIKE RED ,2011-02-10,8.0
72,ALARM CLOCK BAKELIKE RED ,2011-02-11,27.0
73,ALARM CLOCK BAKELIKE RED ,2011-02-12,0.0
74,ALARM CLOCK BAKELIKE RED ,2011-02-13,0.0
75,ALARM CLOCK BAKELIKE RED ,2011-02-14,6.0
76,ALARM CLOCK BAKELIKE RED ,2011-02-15,14.0
77,ALARM CLOCK BAKELIKE RED ,2011-02-16,6.0
78,ALARM CLOCK BAKELIKE RED ,2011-02-17,11.0
79,ALARM CLOCK BAKELIKE RED ,2011-02-18,16.0
80,ALARM CLOCK BAKELIKE RED ,2011-02-19,0.0
81,ALARM CLOCK BAKELIKE RED ,2011-02-20,6.0
82,ALARM CLOCK BAKELIKE RED ,2011-02-21,1.0
83,ALARM CLOCK BAKELIKE RED ,2011-02-22,13.0
84,ALARM CLOCK BAKELIKE RED ,2011-02-23,19.0
85,ALARM CLOCK BAKELIKE RED ,2011-02-24,12.0
86,ALARM CLOCK BAKELIKE RED ,2011-02-25,12.0
87,ALARM CLOCK BAKELIKE RED ,2011-02-26,0.0
88,ALARM CLOCK BAKELIKE RED ,2011-02-27,11.0
89,ALARM CLOCK BAKELIKE RED ,2011-02-28,6.0
90,ALARM CLOCK BAKELIKE RED ,2011-03-01,1.0
91,ALARM CLOCK BAKELIKE RED ,2011-03-02,20.0
92,ALARM CLOCK BAKELIKE RED ,2011-03-03,1.0
93,ALARM CLOCK BAKELIKE RED ,2011-03-04,15.0
94,ALARM CLOCK BAKELIKE RED ,2011-03-05,0.0
95,ALARM CLOCK BAKELIKE RED ,2011-03-06,7.0
96,ALARM CLOCK BAKELIKE RED ,2011-03-07,13.0
97,ALARM CLOCK BAKELIKE RED ,2011-03-08,4.0
98,ALARM CLOCK BAKELIKE RED ,2011-03-09,1.0
99,ALARM CLOCK BAKELIKE RED ,2011-03-10,6.0
100,ALARM CLOCK BAKELIKE RED ,2011-03-11,9.0
101,ALARM CLOCK BAKELIKE RED ,2011-03-12,0.0
102,ALARM CLOCK BAKELIKE RED ,2011-03-13,0.0
103,ALARM CLOCK BAKELIKE RED ,2011-03-14,4.0
104,ALARM CLOCK BAKELIKE RED ,2011-03-15,9.0
105,ALARM CLOCK BAKELIKE RED ,2011-03-16,4.0
106,ALARM CLOCK BAKELIKE RED ,2011-03-17,6.0
107,ALARM CLOCK BAKELIKE RED ,2011-03-18,17.0
108,ALARM CLOCK BAKELIKE RED ,2011-03-19,0.0
109,ALARM CLOCK BAKELIKE RED ,2011-03-20,6.0
110,ALARM CLOCK BAKELIKE RED ,2011-03-21,4.0
111,ALARM CLOCK BAKELIKE RED ,2011-03-22,27.0
112,ALARM CLOCK BAKELIKE RED ,2011-03-23,2.0
113,ALARM CLOCK BAKELIKE RED ,2011-03-24,6.0
114,ALARM CLOCK BAKELIKE RED ,2011-03-25,4.0
115,ALARM CLOCK BAKELIKE RED ,2011-03-26,0.0
116,ALARM CLOCK BAKELIKE RED ,2011-03-27,2.0
117,ALARM CLOCK BAKELIKE RED ,2011-03-28,1.0
118,ALARM CLOCK BAKELIKE RED ,2011-03-29,24.0
119,ALARM CLOCK BAKELIKE RED ,2011-03-30,5.0
120,ALARM CLOCK BAKELIKE RED ,2011-03-31,2.0
121,ALARM CLOCK BAKELIKE RED ,2011-04-01,16.0
122,ALARM CLOCK BAKELIKE RED ,2011-04-02,0.0
123,ALARM CLOCK BAKELIKE RED ,2011-04-03,0.0
124,ALARM CLOCK BAKELIKE RED ,2011-04-04,29.0
125,ALARM CLOCK BAKELIKE RED ,2011-04-05,503.0
126,ALARM CLOCK BAKELIKE RED ,2011-04-06,28.0
127,ALARM CLOCK BAKELIKE RED ,2011-04-07,5.0
128,ALARM CLOCK BAKELIKE RED ,2011-04-08,13.0
129,ALARM CLOCK BAKELIKE RED ,2011-04-09,0.0
130,ALARM CLOCK BAKELIKE RED ,2011-04-10,2.0
131,ALARM CLOCK BAKELIKE RED ,2011-04-11,5.0
132,ALARM CLOCK BAKELIKE RED ,2011-04-12,36.0
133,ALARM CLOCK BAKELIKE RED ,2011-04-13,4.0
134,ALARM CLOCK BAKELIKE RED ,2011-04-14,28.0
135,ALARM CLOCK BAKELIKE RED ,2011-04-15,8.0
136,ALARM CLOCK BAKELIKE RED ,2011-04-16,0.0
137,ALARM CLOCK BAKELIKE RED ,2011-04-17,0.0
138,ALARM CLOCK BAKELIKE RED ,2011-04-18,19.0
139,ALARM CLOCK BAKELIKE RED ,2011-04-19,8.0
140,ALARM CLOCK BAKELIKE RED ,2011-04-20,15.0
141,ALARM CLOCK BAKELIKE RED ,2011-04-21,15.0
142,ALARM CLOCK BAKELIKE RED ,2011-04-22,0.0
143,ALARM CLOCK BAKELIKE RED ,2011-04-23,0.0
144,ALARM CLOCK BAKELIKE RED ,2011-04-24,0.0
145,ALARM CLOCK BAKELIKE RED ,2011-04-25,0.0
146,ALARM CLOCK BAKELIKE RED ,2011-04-26,20.0
147,ALARM CLOCK BAKELIKE RED ,2011-04-27,13.0
148,ALARM CLOCK BAKELIKE RED ,2011-04-28,29.0
149,ALARM CLOCK BAKELIKE RED ,2011-04-29,0.0
150,ALARM CLOCK BAKELIKE RED ,2011-04-30,0.0
151,ALARM CLOCK BAKELIKE RED ,2011-05-01,1.0
152,ALARM CLOCK BAKELIKE RED ,2011-05-02,0.0
153,ALARM CLOCK BAKELIKE RED ,2011-05-03,14.0
154,ALARM CLOCK BAKELIKE RED ,2011-05-04,13.0
155,ALARM CLOCK BAKELIKE RED ,2011-05-05,5.0
156,ALARM CLOCK BAKELIKE RED ,2011-05-06,6.0
157,ALARM CLOCK BAKELIKE RED ,2011-05-07,0.0
158,ALARM CLOCK BAKELIKE RED ,2011-05-08,17.0
159,ALARM CLOCK BAKELIKE RED ,2011-05-09,10.0
160,ALARM CLOCK BAKELIKE RED ,2011-05-10,17.0
161,ALARM CLOCK BAKELIKE RED ,2011-05-11,26.0
162,ALARM CLOCK BAKELIKE RED ,2011-05-12,9.0
163,ALARM CLOCK BAKELIKE RED ,2011-05-13,11.0
164,ALARM CLOCK BAKELIKE RED ,2011-05-14,0.0
165,ALARM CLOCK BAKELIKE RED ,2011-05-15,4.0
166,ALARM CLOCK BAKELIKE RED ,2011-05-16,26.0
167,ALARM CLOCK BAKELIKE RED ,2011-05-17,8.0
168,ALARM CLOCK BAKELIKE RED ,2011-05-18,18.0
169,ALARM CLOCK BAKELIKE RED ,2011-05-19,49.0
170,ALARM CLOCK BAKELIKE RED ,2011-05-20,13.0
171,ALARM CLOCK BAKELIKE RED ,2011-05-21,0.0
172,ALARM CLOCK BAKELIKE RED ,2011-05-22,2.0
173,ALARM CLOCK BAKELIKE RED ,2011-05-23,12.0
174,ALARM CLOCK BAKELIKE RED ,2011-05-24,8.0
175,ALARM CLOCK BAKELIKE RED ,2011-05-25,3.0
176,ALARM CLOCK BAKELIKE RED ,2011-05-26,7.0
177,ALARM CLOCK BAKELIKE RED ,2011-05-27,20.0
178,ALARM CLOCK BAKELIKE RED ,2011-05-28,0.0
179,ALARM CLOCK BAKELIKE RED ,2011-05-29,2.0
180,ALARM CLOCK BAKELIKE RED ,2011-05-30,0.0
181,ALARM CLOCK BAKELIKE RED ,2011-05-31,10.0
182,ALARM CLOCK BAKELIKE RED ,2011-06-01,7.0
183,ALARM CLOCK BAKELIKE RED ,2011-06-02,18.0
184,ALARM CLOCK BAKELIKE RED ,2011-06-03,4.0
185,ALARM CLOCK BAKELIKE RED ,2011-06-04,0.0
186,ALARM CLOCK BAKELIKE RED ,2011-06-05,7.0
187,ALARM CLOCK BAKELIKE RED ,2011-06-06,10.0
188,ALARM CLOCK BAKELIKE RED ,2011-06-07,2.0
189,ALARM CLOCK BAKELIKE RED ,2011-06-08,3.0
190,ALARM CLOCK BAKELIKE RED ,2011-06-09,5.0
191,ALARM CLOCK BAKELIKE RED ,2011-06-10,5.0
192,ALARM CLOCK BAKELIKE RED ,2011-06-11,0.0
193,ALARM CLOCK BAKELIKE RED ,2011-06-12,2.0
194,ALARM CLOCK BAKELIKE RED ,2011-06-13,1.0
195,ALARM CLOCK BAKELIKE RED ,2011-06-14,12.0
196,ALARM CLOCK BAKELIKE RED ,2011-06-15,6.0
197,ALARM CLOCK BAKELIKE RED ,2011-06-16,20.0
198,ALARM CLOCK BAKELIKE RED ,2011-06-17,15.0
199,ALARM CLOCK BAKELIKE RED ,2011-06-18,0.0
200,ALARM CLOCK BAKELIKE RED ,2011-06-19,14.0
201,ALARM CLOCK BAKELIKE RED ,2011-06-20,6.0
202,ALARM CLOCK BAKELIKE RED ,2011-06-21,0.0
203,ALARM CLOCK BAKELIKE RED ,2011-06-22,24.0
204,ALARM CLOCK BAKELIKE RED ,2011-06-23,2.0
205,ALARM CLOCK BAKELIKE RED ,2011-06-24,0.0
206,ALARM CLOCK BAKELIKE RED ,2011-06-25,0.0
207,ALARM CLOCK BAKELIKE RED ,2011-06-26,1.0
208,ALARM CLOCK BAKELIKE RED ,2011-06-27,5.0
209,ALARM CLOCK BAKELIKE RED ,2011-06-28,41.0
210,ALARM CLOCK BAKELIKE RED ,2011-06-29,8.0
211,ALARM CLOCK BAKELIKE RED ,2011-06-30,28.0
212,ALARM CLOCK BAKELIKE RED ,2011-07-01,1.0
213,ALARM CLOCK BAKELIKE RED ,2011-07-02,0.0
214,ALARM CLOCK BAKELIKE RED ,2011-07-03,1.0
215,ALARM CLOCK BAKELIKE RED ,2011-07-04,2.0
216,ALARM CLOCK BAKELIKE RED ,2011-07-05,13.0
217,ALARM CLOCK BAKELIKE RED ,2011-07-06,28.0
218,ALARM CLOCK BAKELIKE RED ,2011-07-07,7.0
219,ALARM CLOCK BAKELIKE RED ,2011-07-08,2.0
220,ALARM CLOCK BAKELIKE RED ,2011-07-09,0.0
221,ALARM CLOCK BAKELIKE RED ,2011-07-10,0.0
222,ALARM CLOCK BAKELIKE RED ,2011-07-11,10.0
223,ALARM CLOCK BAKELIKE RED ,2011-07-12,18.0
224,ALARM CLOCK BAKELIKE RED ,2011-07-13,7.0
225,ALARM CLOCK BAKELIKE RED ,2011-07-14,6.0
226,ALARM CLOCK BAKELIKE RED ,2011-07-15,4.0
227,ALARM CLOCK BAKELIKE RED ,2011-07-16,0.0
228,ALARM CLOCK BAKELIKE RED ,2011-07-17,2.0
229,ALARM CLOCK BAKELIKE RED ,2011-07-18,5.0
230,ALARM CLOCK BAKELIKE RED ,2011-07-19,21.0
231,ALARM CLOCK BAKELIKE RED ,2011-07-20,20.0
232,ALARM CLOCK BAKELIKE RED ,2011-07-21,12.0
233,ALARM CLOCK BAKELIKE RED ,2011-07-22,12.0
234,ALARM CLOCK BAKELIKE RED ,2011-07-23,0.0
235,ALARM CLOCK BAKELIKE RED ,2011-07-24,1.0
236,ALARM CLOCK BAKELIKE RED ,2011-07-25,3.0
237,ALARM CLOCK BAKELIKE RED ,2011-07-26,12.0
238,ALARM CLOCK BAKELIKE RED ,2011-07-27,2.0
239,ALARM CLOCK BAKELIKE RED ,2011-07-28,4.0
240,ALARM CLOCK BAKELIKE RED ,2011-07-29,10.0
241,ALARM CLOCK BAKELIKE RED ,2011-07-30,0.0
242,ALARM CLOCK BAKELIKE RED ,2011-07-31,3.0
243,ALARM CLOCK BAKELIKE RED ,2011-08-01,0.0
244,ALARM CLOCK BAKELIKE RED ,2011-08-02,4.0
245,ALARM CLOCK BAKELIKE RED ,2011-08-03,23.0
246,ALARM CLOCK BAKELIKE RED ,2011-08-04,24.0
247,ALARM CLOCK BAKELIKE RED ,2011-08-05,4.0
248,ALARM CLOCK BAKELIKE RED ,2011-08-06,0.0
249,ALARM CLOCK BAKELIKE RED ,2011-08-07,0.0
250,ALARM CLOCK BAKELIKE RED ,2011-08-08,9.0
251,ALARM CLOCK BAKELIKE RED ,2011-08-09,8.0
252,ALARM CLOCK BAKELIKE RED ,2011-08-10,5.0
253,ALARM CLOCK BAKELIKE RED ,2011-08-11,12.0
254,ALARM CLOCK BAKELIKE RED ,2011-08-12,4.0
255,ALARM CLOCK BAKELIKE RED ,2011-08-13,0.0
256,ALARM CLOCK BAKELIKE RED ,2011-08-14,2.0
257,ALARM CLOCK BAKELIKE RED ,2011-08-15,8.0
258,ALARM CLOCK BAKELIKE RED ,2011-08-16,7.0
259,ALARM CLOCK BAKELIKE RED ,2011-08-17,10.0
260,ALARM CLOCK BAKELIKE RED ,2011-08-18,20.0
261,ALARM CLOCK BAKELIKE RED ,2011-08-19,45.0
262,ALARM CLOCK BAKELIKE RED ,2011-08-20,0.0
263,ALARM CLOCK BAKELIKE RED ,2011-08-21,20.0
264,ALARM CLOCK BAKELIKE RED ,2011-08-22,418.0
265,ALARM CLOCK BAKELIKE RED ,2011-08-23,14.0
266,ALARM CLOCK BAKELIKE RED ,2011-08-24,20.0
267,ALARM CLOCK BAKELIKE RED ,2011-08-25,16.0
268,ALARM CLOCK BAKELIKE RED ,2011-08-26,2.0
269,ALARM CLOCK BAKELIKE RED ,2011-08-27,0.0
270,ALARM CLOCK BAKELIKE RED ,2011-08-28,7.0
271,ALARM CLOCK BAKELIKE RED ,2011-08-29,0.0
272,ALARM CLOCK BAKELIKE RED ,2011-08-30,9.0
273,ALARM CLOCK BAKELIKE RED ,2011-08-31,12.0
274,ALARM CLOCK BAKELIKE RED ,2011-09-01,28.0
275,ALARM CLOCK BAKELIKE RED ,2011-09-02,13.0
276,ALARM CLOCK BAKELIKE RED ,2011-09-03,0.0
277,ALARM CLOCK BAKELIKE RED ,2011-09-04,4.0
278,ALARM CLOCK BAKELIKE RED ,2011-09-05,2.0
279,ALARM CLOCK BAKELIKE RED ,2011-09-06,30.0
280,ALARM CLOCK BAKELIKE RED ,2011-09-07,9.0
281,ALARM CLOCK BAKELIKE RED ,2011-09-08,17.0
282,ALARM CLOCK BAKELIKE RED ,2011-09-09,18.0
283,ALARM CLOCK BAKELIKE RED ,2011-09-10,0.0
284,ALARM CLOCK BAKELIKE RED ,2011-09-11,10.0
285,ALARM CLOCK BAKELIKE RED ,2011-09-12,9.0
286,ALARM CLOCK BAKELIKE RED ,2011-09-13,30.0
287,ALARM CLOCK BAKELIKE RED ,2011-09-14,2.0
288,ALARM CLOCK BAKELIKE RED ,2011-09-15,0.0
289,ALARM CLOCK BAKELIKE RED ,2011-09-16,23.0
290,ALARM CLOCK BAKELIKE RED ,2011-09-17,0.0
291,ALARM CLOCK BAKELIKE RED ,2011-09-18,53.0
292,ALARM CLOCK BAKELIKE RED ,2011-09-19,8.0
293,ALARM CLOCK BAKELIKE RED ,2011-09-20,25.0
294,ALARM CLOCK BAKELIKE RED ,2011-09-21,29.0
295,ALARM CLOCK BAKELIKE RED ,2011-09-22,12.0
296,ALARM CLOCK BAKELIKE RED ,2011-09-23,6.0
297,ALARM CLOCK BAKELIKE RED ,2011-09-24,0.0
298,ALARM CLOCK BAKELIKE RED ,2011-09-25,39.0
299,ALARM CLOCK BAKELIKE RED ,2011-09-26,22.0
300,ALARM CLOCK BAKELIKE RED ,2011-09-27,18.0
301,ALARM CLOCK BAKELIKE RED ,2011-09-28,35.0
302,ALARM CLOCK BAKELIKE RED ,2011-09-29,3.0
303,ALARM CLOCK BAKELIKE RED ,2011-09-30,22.0
304,ALARM CLOCK BAKELIKE RED ,2011-10-01,0.0
305,ALARM CLOCK BAKELIKE RED ,2011-10-02,5.0
306,ALARM CLOCK BAKELIKE RED ,2011-10-03,103.0
307,ALARM CLOCK BAKELIKE RED ,2011-10-04,17.0
308,ALARM CLOCK BAKELIKE RED ,2011-10-05,24.0
309,ALARM CLOCK BAKELIKE RED ,2011-10-06,14.0
310,ALARM CLOCK BAKELIKE RED ,2011-10-07,13.0
311,ALARM CLOCK BAKELIKE RED ,2011-10-08,0.0
312,ALARM CLOCK BAKELIKE RED ,2011-10-09,0.0
313,ALARM CLOCK BAKELIKE RED ,2011-10-10,13.0
314,ALARM CLOCK BAKELIKE RED ,2011-10-11,19.0
315,ALARM CLOCK BAKELIKE RED ,2011-10-12,20.0
316,ALARM CLOCK BAKELIKE RED ,2011-10-13,6.0
317,ALARM CLOCK BAKELIKE RED ,2011-10-14,14.0
318,ALARM CLOCK BAKELIKE RED ,2011-10-15,0.0
319,ALARM CLOCK BAKELIKE RED ,2011-10-16,4.0
320,ALARM CLOCK BAKELIKE RED ,2011-10-17,14.0
321,ALARM CLOCK BAKELIKE RED ,2011-10-18,15.0
322,ALARM CLOCK BAKELIKE RED ,2011-10-19,12.0
323,ALARM CLOCK BAKELIKE RED ,2011-10-20,14.0
324,ALARM CLOCK BAKELIKE RED ,2011-10-21,7.0
325,ALARM CLOCK BAKELIKE RED ,2011-10-22,0.0
326,ALARM CLOCK BAKELIKE RED ,2011-10-23,1.0
327,ALARM CLOCK BAKELIKE RED ,2011-10-24,13.0
328,ALARM CLOCK BAKELIKE RED ,2011-10-25,424.0
329,ALARM CLOCK BAKELIKE RED ,2011-10-26,19.0
330,ALARM CLOCK BAKELIKE RED ,2011-10-27,30.0
331,ALARM CLOCK BAKELIKE RED ,2011-10-28,47.0
332,ALARM CLOCK BAKELIKE RED ,2011-10-29,0.0
333,ALARM CLOCK BAKELIKE RED ,2011-10-30,73.0
334,ALARM CLOCK BAKELIKE RED ,2011-10-31,34.0
335,ALARM CLOCK BAKELIKE RED ,2011-11-01,24.0
336,ALARM CLOCK BAKELIKE RED ,2011-11-02,9.0
337,ALARM CLOCK BAKELIKE RED ,2011-11-03,64.0
338,ALARM CLOCK BAKELIKE RED ,2011-11-04,43.0
339,ALARM CLOCK BAKELIKE RED ,2011-11-05,0.0
340,ALARM CLOCK BAKELIKE RED ,2011-11-06,22.0
341,ALARM CLOCK BAKELIKE RED ,2011-11-07,51.0
342,ALARM CLOCK BAKELIKE RED ,2011-11-08,25.0
343,ALARM CLOCK BAKELIKE RED ,2011-11-09,32.0
344,ALARM CLOCK BAKELIKE RED ,2011-11-10,49.0
345,ALARM CLOCK BAKELIKE RED ,2011-11-11,25.0
346,ALARM CLOCK BAKELIKE RED ,2011-11-12,0.0
347,ALARM CLOCK BAKELIKE RED ,2011-11-13,12.0
348,ALARM CLOCK BAKELIKE RED ,2011-11-14,80.0
349,ALARM CLOCK BAKELIKE RED ,2011-11-15,20.0
350,ALARM CLOCK BAKELIKE RED ,2011-11-16,25.0
351,ALARM CLOCK BAKELIKE RED ,2011-11-17,18.0
352,ALARM CLOCK BAKELIKE RED ,2011-11-18,29.0
353,ALARM CLOCK BAKELIKE RED ,2011-11-19,0.0
354,ALARM CLOCK BAKELIKE RED ,2011-11-20,22.0
355,ALARM CLOCK BAKELIKE RED ,2011-11-21,15.0
356,ALARM CLOCK BAKELIKE RED ,2011-11-22,26.0
357,ALARM CLOCK BAKELIKE RED ,2011-11-23,17.0
358,ALARM CLOCK BAKELIKE RED ,2011-11-24,39.0
359,ALARM CLOCK BAKELIKE RED ,2011-11-25,22.0
360,ALARM CLOCK BAKELIKE RED ,2011-11-26,0.0
361,ALARM CLOCK BAKELIKE RED ,2011-11-27,10.0
362,ALARM CLOCK BAKELIKE RED ,2011-11-28,32.0
363,ALARM CLOCK BAKELIKE RED ,2011-11-29,21.0
364,ALARM CLOCK BAKELIKE RED ,2011-11-30,62.0
365,ALARM CLOCK BAKELIKE RED ,2011-12-01,55.0
366,ALARM CLOCK BAKELIKE RED ,2011-12-02,29.0
367,ALARM CLOCK BAKELIKE RED ,2011-12-03,0.0
368,ALARM CLOCK BAKELIKE RED ,2011-12-04,15.0
369,ALARM CLOCK BAKELIKE RED ,2011-12-05,127.0
370,ALARM CLOCK BAKELIKE RED ,2011-12-06,37.0
371,ALARM CLOCK BAKELIKE RED ,2011-12-07,669.0
372,ALARM CLOCK BAKELIKE RED ,2011-12-08,62.0
373,ALARM CLOCK BAKELIKE RED ,2011-12-09,26.0
374,ASSORTED COLOUR BIRD ORNAMENT,2010-12-01,224.0
375,ASSORTED COLOUR BIRD ORNAMENT,2010-12-02,503.0
376,ASSORTED COLOUR BIRD ORNAMENT,2010-12-03,48.0
377,ASSORTED COLOUR BIRD ORNAMENT,2010-12-04,0.0
378,ASSORTED COLOUR BIRD ORNAMENT,2010-12-05,129.0
379,ASSORTED COLOUR BIRD ORNAMENT,2010-12-06,130.0
380,ASSORTED COLOUR BIRD ORNAMENT,2010-12-07,271.0
381,ASSORTED COLOUR BIRD ORNAMENT,2010-12-08,91.0
382,ASSORTED COLOUR BIRD ORNAMENT,2010-12-09,120.0
383,ASSORTED COLOUR BIRD ORNAMENT,2010-12-10,32.0
384,ASSORTED COLOUR BIRD ORNAMENT,2010-12-11,0.0
385,ASSORTED COLOUR BIRD ORNAMENT,2010-12-12,25.0
386,ASSORTED COLOUR BIRD ORNAMENT,2010-12-13,82.0
387,ASSORTED COLOUR BIRD ORNAMENT,2010-12-14,204.0
388,ASSORTED COLOUR BIRD ORNAMENT,2010-12-15,120.0
389,ASSORTED COLOUR BIRD ORNAMENT,2010-12-16,160.0
390,ASSORTED COLOUR BIRD ORNAMENT,2010-12-17,40.0
391,ASSORTED COLOUR BIRD ORNAMENT,2010-12-18,0.0
392,ASSORTED COLOUR BIRD ORNAMENT,2010-12-19,8.0
393,ASSORTED COLOUR BIRD ORNAMENT,2010-12-20,0.0
394,ASSORTED COLOUR BIRD ORNAMENT,2010-12-21,16.0
395,ASSORTED COLOUR BIRD ORNAMENT,2010-12-22,0.0
396,ASSORTED COLOUR BIRD ORNAMENT,2010-12-23,0.0
397,ASSORTED COLOUR BIRD ORNAMENT,2010-12-24,0.0
398,ASSORTED COLOUR BIRD ORNAMENT,2010-12-25,0.0
399,ASSORTED COLOUR BIRD ORNAMENT,2010-12-26,0.0
400,ASSORTED COLOUR BIRD ORNAMENT,2010-12-27,0.0
401,ASSORTED COLOUR BIRD ORNAMENT,2010-12-28,0.0
402,ASSORTED COLOUR BIRD ORNAMENT,2010-12-29,0.0
403,ASSORTED COLOUR BIRD ORNAMENT,2010-12-30,0.0
404,ASSORTED COLOUR BIRD ORNAMENT,2010-12-31,0.0
405,ASSORTED COLOUR BIRD ORNAMENT,2011-01-01,0.0
406,ASSORTED COLOUR BIRD ORNAMENT,2011-01-02,0.0
407,ASSORTED COLOUR BIRD ORNAMENT,2011-01-03,0.0
408,ASSORTED COLOUR BIRD ORNAMENT,2011-01-04,72.0
409,ASSORTED COLOUR BIRD ORNAMENT,2011-01-05,232.0
410,ASSORTED COLOUR BIRD ORNAMENT,2011-01-06,88.0
411,ASSORTED COLOUR BIRD ORNAMENT,2011-01-07,24.0
412,ASSORTED COLOUR BIRD ORNAMENT,2011-01-08,0.0
413,ASSORTED COLOUR BIRD ORNAMENT,2011-01-09,64.0
414,ASSORTED COLOUR BIRD ORNAMENT,2011-01-10,88.0
415,ASSORTED COLOUR BIRD ORNAMENT,2011-01-11,216.0
416,ASSORTED COLOUR BIRD ORNAMENT,2011-01-12,32.0
417,ASSORTED COLOUR BIRD ORNAMENT,2011-01-13,38.0
418,ASSORTED COLOUR BIRD ORNAMENT,2011-01-14,24.0
